,host,algorithm,key_size,file_size,ram,energy_consumed_per_ram,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed
0,macbook_air_m2,ChaCha20,256,50MB,16.0,1.760058365513881e-08,5.938835144042969,6.694469698207643e-10,1.1272361558853208e-10,0.8842000000000001,0.0,6.0,3.6201121369997666e-08,0.0,2.454082171122233e-07,2.8160933848222096e-07
0,macbook_air_m2,3DES,192,1GB,16.0,4.2278855015540295e-06,44.09641218185425,1.608097318373937e-07,3.6467758686174293e-09,0.0355,0.0068,6.0,2.285555793164174e-05,1.0325926886664498e-08,4.478028416633606e-05,6.764616802486447e-05
0,macbook_air_m2,XTEA,128,10MB,16.0,5.68729747841383e-06,26.43320083618164,2.163191936127521e-07,8.18361707132552e-09,0.7011000000000001,0.0,6.0,3.1492214919666444e-05,0.0,5.9504544734954835e-05,9.099675965462128e-05
0,macbook_air_m2,AES,128,25MB,16.0,1.5108298438704675e-08,6.086950063705444,5.74651659690024e-10,9.440715854011848e-11,0.7607,0.0,6.0,2.7227976765897544e-08,0.0,2.145047982533773e-07,2.417327750192748e-07
0,macbook_air_m2,3DES,128,10MB,16.0,4.058294915821817e-08,6.263376951217651,1.5435926940085911e-09,2.4644735675832254e-10,0.2699,0.0,6.0,2.7960288312700066e-08,0.0,6.213668982187907e-07,6.493271865314907e-07
0,macbook_air_m2,ChaCha20,256,750MB,16.0,2.3412966064446505e-07,7.934115886688232,8.905238311107862e-09,1.1223983161184938e-09,0.2172,0.001,6.0,1.3082965111732488e-07,1.4065644476148815e-09,3.613838354746501e-06,3.7460745703114408e-06
0,macbook_air_m2,Blowfish,32,25MB,16.0,3.8343138380183114e-08,6.280466079711914,1.4584003749521902e-09,2.3221212509423942e-10,1.7637,0.0427,6.0,1.3058381474018097e-07,3.89276923471027e-08,4.439787069956462e-07,6.134902140829298e-07
0,macbook_air_m2,3DES,128,500MB,16.0,4.6979154925234615e-06,24.59237599372864,1.786875567632448e-07,7.265973682608477e-09,0.739,0.0,6.0,1.88607176484002e-05,3.2252088156011364e-08,5.627367814381917e-05,7.516664788037538e-05
0,macbook_air_m2,RC4,40,250MB,16.0,7.482164747516314e-08,6.456808805465698,2.845878645883483e-09,4.4075622054573494e-10,3.224800000000001,0.02,6.0,4.118775588141548e-07,1.9150433275434708e-08,7.661183675130208e-07,1.1971463596026102e-06
0,macbook_air_m2,AES,256,100MB,16.0,5.7273565145002476e-08,6.4658119678497314,2.1784285901200504e-09,3.3691493055349516e-10,0.0428,0.0,6.0,6.492271608776516e-09,0.0,9.09884770711263e-07,9.163770423200396e-07
0,macbook_air_m2,XTEA,128,50MB,16.0,1.468555092665625e-05,110.49994492530824,5.58572247411216e-07,5.054954984717681e-09,0.0574999999999999,0.001,6.0,0.0001178652722415,2.225523182286157e-07,0.0001168809902667,0.0002349688148265
0,macbook_air_m2,ChaCha20,256,10MB,16.0,4.512918060852423e-09,5.78208589553833,1.7165108726408458e-10,2.9686706556285665e-11,0.2048,0.0131,6.0,2.0396864149305556e-09,1.0618783513704938e-08,5.9548219045003256e-08,7.220668897363876e-08
0,macbook_air_m2,3DES,128,5GB,16.0,3.655404635348125e-05,271.71260499954224,1.3903513681992845e-06,5.116992523043334e-09,2.2388000000000003,0.0039,6.0,0.0001956956703735,7.580786598700066e-07,0.0003884109926223,0.0005848647416557
0,macbook_air_m2,AES,256,1MB,16.0,1.171569847812255e-09,5.924026012420654,4.4561242963229585e-11,7.522121420432646e-12,0.083,0.0019,6.0,2.383773856692844e-10,1.5599475767877367e-09,1.694679260253906e-08,1.874511756499608e-08
0,macbook_air_m2,RC4,40,1GB,16.0,1.9690008233487604e-07,7.8835768699646,7.489192748335719e-09,9.499739612952292e-10,0.2469,0.0,6.0,1.245246363480886e-07,0.0,3.025876681009928e-06,3.1504013173580166e-06
0,macbook_air_m2,AES,128,500MB,16.0,2.745883815826641e-07,8.459769010543823,1.0444105922864208e-08,1.2345615949853015e-09,0.4037,0.0,6.0,2.769941542016135e-07,0.0,4.116419951121012e-06,4.3934141053226255e-06
0,macbook_air_m2,Twofish,128,10MB,16.0,6.824759177521875e-05,206.26019883155823,2.595831161436842e-06,1.25852257301309e-08,0.2944,0.0019,6.0,0.0004912602227176,1.553740306849833e-07,0.0006005458716551,0.0010919614684035
0,macbook_air_m2,3DES,192,75MB,16.0,3.0154477692643805e-07,8.623528957366943,1.1469405852330536e-08,1.3300130270371975e-09,0.3157,0.0,6.0,2.411816337903341e-07,0.0,4.5835347970326745e-06,4.824716430823009e-06
0,macbook_air_m2,AES,256,2GB,16.0,1.2298494092896582e-06,17.279525756835938,4.6777935125147715e-08,2.707130727047988e-09,0.2343,0.0,6.0,7.395410732825598e-07,0.0,1.893804947535197e-05,1.967759054863453e-05
0,macbook_air_m2,AES,192,5GB,16.0,2.273450804149375e-05,108.6443259716034,8.647183421273804e-07,7.959167074711235e-09,4.246875000000001,0.0038,6.0,0.0001382146090968,4.988059529595905e-07,0.0002250387136141,0.0003637521286639
0,macbook_air_m2,DES,64,10MB,16.0,1.5763997122645378e-08,6.029165744781494,5.99591485873084e-10,9.944849938684412e-11,0.1125,0.0067,6.0,4.5413747429847725e-09,5.725868403911591e-09,2.419567108154297e-07,2.5222395396232605e-07
